,lower_bound,upper_bound
rxn06874_c0,-252.1904784,8.31E-14
rxn05547_c0,1.80E-13,13.39820955
rxn02003_c0,-1.919907778,7.98E-16
rxn05444_c0,-1.06E-14,6.539070884
rxn06723_c0,-3.839815555,1.60E-15
rxn11946_c0,-3.87E-16,0.23769647
rxn05508_c0,-2.51E-14,15.41652993
rxn03537_c0,-3.87E-16,0.23769647
rxn05442_c0,-1.06E-14,6.539070884
rxn01258_c0,-0.950785881,3.95E-16
rxn01151_c0,-5.759723333,2.40E-15
rxn03511_c0,-1.25E-14,7.67963111
rxn10205_c0,-5.32E-15,3.269535442
rxn05358_c0,-1.06E-14,6.539070884
rxn00452_c0,2.38E-14,8.457504929
rxn03164_c0,-3.13E-15,1.919907778
rxn05390_c0,-1.06E-14,6.539070884
rxn12630_c0,-6.25E-15,3.839815555
rxn05402_c0,-1.06E-14,6.539070884
rxn00851_c0,-3.13E-15,1.919907778
rxn09989_c0,-4.29E-14,1.741420502
rxn00392_c0,-3.87E-16,0.23769647
rxn05440_c0,-1.06E-14,6.539070884
rxn03536_c0,-3.87E-16,0.23769647
rxn03130_c0,-3.13E-15,1.919907778
rxn05367_c0,-1.06E-14,6.539070884
rxn05719_c0,2.35E-13,2.980187101
rxn02405_c0,-9.38E-15,5.759723333
rxn04675_c0,-0.950785881,3.95E-16
rxn05439_c0,-1.06E-14,6.539070884
rxn08708_c0,-3.13E-15,1.919907778
rxn03978_c0,1.77E-13,333.3333333
rxn05392_c0,-1.06E-14,6.539070884
rxn02774_c0,-3.87E-16,0.23769647
rxn00224_c0,-0.23769647,1.01E-16
rxn10233_c0,-1.33E-15,0.81738386
rxn10887_c0,-3.839815555,1.63E-15
rxn05396_c0,-1.06E-14,6.539070884
rxn00605_c0,-7.67963111,3.25E-15
rxn05364_c0,-1.06E-14,6.539070884
rxn08669_c0,-2.452151581,1.04E-15
rxn08583_c0,-3.13E-15,1.919907778
rxn02286_c0,-3.13E-15,1.919907778
rxn08333_c0,-7.74E-16,0.47539294
rxn05388_c0,-1.06E-14,6.539070884
rxn10338_c0,-1.33E-15,0.81738386
rxn05551_c0,-1.33E-15,0.81738386
rxn05669_c0,-4.40E-14,27.03874762
rxn05403_c0,-1.06E-14,6.539070884
rxn08434_c0,-1.919907778,8.13E-16
rxn00640_c0,-3.87E-16,0.23769647
rxn09135_c0,-0.81738386,3.46E-16
rxn08713_c0,-3.13E-15,1.919907778
rxn08620_c0,-3.13E-15,1.919907778
rxn05300_c0,-3.70E-14,34.27035754
rxn10954_c0,-10.76856021,4.56E-15
rxn08429_c0,-8.15E-14,0.922963968
rxn05361_c0,-1.06E-14,6.539070884
rxn05401_c0,-1.06E-14,6.539070884
rxn12646_c0,-3.00E-15,13.39820955
rxn10154_c0,-2.78E-14,17.08040522
rxn05452_c0,-1.06E-14,6.539070884
rxn05645_c0,-7.74E-16,0.47539294
rxn09163_c0,-2.452151581,1.04E-15
rxn05377_c0,-1.06E-14,6.539070884
rxn10145_c0,-3.88E-14,23.83120641
rxn05303_c0,-3.12E-14,19.1750747
rxn05365_c0,-1.06E-14,6.539070884
rxn05499_c0,-9.38E-15,5.759723333
rxn13160_c0,-9.599538888,4.06E-15
rxn01213_c0,-4.406664663,1.87E-15
